"Data Source","World Development Indicators",

"Last Updated Date","2017-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","82.8146375717133","77.3285485231518","78.1983049797031","77.3253023982612","80.1911905950961","82.2739489764899","84.8584344101019","78.5879557831431","78.9785214439442","78.9155384208437","79.7265590386764","82.1857168964607","81.3091483665978","81.8361829296287","78.4843409458356","78.9143819733672","78.449596418125","76.8613896226947","76.7864403426428","73.4598062672484","73.415038177861","74.7093460432483","73.8153341872729","74.3499895273732","76.0017103225393","75.2852889731799","74.9992329129297","76.5072411618871","74.1872252363219","73.6891492419928","72.1555802153036","70.600502923363","67.0191949827256","66.7122341690204","70.6513720353824","65.8461530806389","63.079820601245","59.5141481168635","55.9067903487172","54.39024139681","53.4234835244823","49.6509191771865","50.5597964138376","48.7658204900188","","",
"Albania","ALB","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","21.8348509562713","19.3179143535364","21.4114012459249","20.5424414245523","18.8609027093348","17.1236997998568","16.1545932419832","14.4594648252083","16.5795072246344","12.211494040319","13.9094012308023","13.9357573708488","13.1871489259071","12.682550271803","13.8031727760097","12.8735241625481","13.194353081554","12.8660834189453","12.9622794740207","13.5794723059983","19.397186127521","26.7231534840777","26.0302134326171","23.3632888040398","23.7413843812739","21.2324499577107","23.7475976884952","20.5599712335848","14.6234955145272","14.3852988349086","14.0034523604352","12.7095216884587","10.0480513739079","10.7572052111367","10.6119974028839","10.8714089187873","10.6461912409909","10.2619869495832","9.79317318999138","9.64962086437085","9.35801794740151","10.3482651897703","8.68356032352784","9.36138129984292","","",
"Andorra","AND","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","15.0357812146657","14.7471027004866","13.7267748466485","13.0811549600656","12.3639823778078","11.4210972659395","10.7123970295452","9.53177305891232","8.22552738118329","7.51609289556265","6.69678460306571","6.18294657305107","5.9383837386975","5.86052146756304","5.69705384738659","5.56442285307216","5.2471168742549","4.91910718436572","4.7378874372681","5.09230506606708","5.04215851531381","4.63584814439442","4.40804472738101","4.5858976781844","4.52017112475061","4.45220003187492","4.34184948710732","4.33176666136571","4.33453343430303","4.27852801821253","4.19863651148217","4.17299758151849","4.06649089973551","4.04007223938224","3.73800080851725","3.50541373309062","3.16673812178507","2.90621456638625","2.79329282321923","2.62886332232922","2.64395178728252","2.11756426409745","2.15668935543032","2.10722936091179","","",
"United Arab Emirates","ARE","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.144778291021272","0.112628589587084","0.0903556329546234","0.0850324624907724","0.0604005505875395","0.05717834347975","0.0535860177991089","0.0524779453060711","0.0536764702150155","0.0420873578332831","0.0424321794213108","0.0431294120184083","0.0597620461308902","0.0628231512897219","0.0700638635753022","0.0748265216560933","0.0731690310992742","0.0809849064303497","0.0846668347651286","0.0846151349645443","0.0817501937270058","0.0809808557940183","0.0803775082319722","","",
"Argentina","ARG","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","6.72353123146164","6.3577147747943","5.89092028754363","6.50758074276763","5.26290158079063","4.8766535118194","5.18998294075847","5.37992906737674","4.68797282342494","5.1467516801102","5.08872098879704","4.67498798365558","4.93025588308592","4.80416032491908","4.91668884779368","4.03861190358003","4.10532735922523","3.81154726444887","3.36028383986007","3.73741617558808","3.79228360002129","3.71626780166883","3.93076348223787","4.39310162487679","4.89323018834702","4.80111362777868","4.57783336376284","5.01147605073381","4.89093133568492","4.80111812243545","5.1614059214482","5.20820991381264","5.24987936099632","3.19923833134916","3.39261006433097","3.82425263730088","3.78366427687106","2.90835243129819","3.00963451134056","3.50667739580839","3.8108619039144","4.13355840560831","3.96033140784489","4.59974550599272","","",
"Armenia","ARM","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.194562574759408","0.183104085016813","0.353822946174609","0.650206564641643","1.00989877799491","0.829067401021148","0.753544257600853","0.71311290945448","0.693882307899595","0.71373172719151","0.608061153578874","0.446467522042932","0.523082236095286","0.602659880265514","0.600786249465928","0.328860951762284","0.525445655615007","0.298824402018195","0.282982847597708","0.324793005283586","0.340447672177967","0.311316085621866","0.285363898723252","0.293101444958059","1.14528520427114","","",
"American Samoa","ASM","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
