Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bangladesh,BGD,5.622258162,3.485227815,5.442685551,4.711561724,3.890126441,5.121277897,4.522919218,4.489896497,5.177026873,4.670156368,5.293294718,5.077287776,3.83312394,4.739567399,5.23953291,6.535944941,6.671868265,7.058636206,6.013789759,5.045124794,5.571802274,6.46438388,6.521435078,6.013596067,6.061093054
Bulgaria,BGR,-9.117377097,-8.445355238,-7.272387907,-1.480214829,1.818011241,2.860189441,1.599999963,-1.099999912,3.499999833,-5.609999976,5.010949436,4.248025257,6.018122264,5.077522246,6.555566547,7.236192982,6.753133915,7.675350682,5.647005366,-4.219726999,0.054557923,1.915018011,0.030943608,0.862092738,1.328849722
Bahrain,BHR,4.437997176,11.22999878,6.689998367,12.87000667,-0.250001485,3.929991545,4.110006115,3.092999787,4.790002789,4.29999896,5.299994794,2.491033565,3.614148289,6.023951196,6.980946984,6.768939709,6.468567672,8.292443822,6.245128341,2.539772469,4.334407088,1.983823256,3.732251521,5.416503715,4.34984233
"Bahamas, The",BHS,-1.596249086,-4.181784638,-3.825582728,0.307806938,3.148916191,4.378751399,4.22353068,2.06223949,4.716473825,7.144129932,4.1492464,2.625627121,2.704629513,-1.264744629,0.882884233,3.39529267,2.516863841,1.446522215,-2.324172373,-4.180919802,1.547005157,0.611979167,3.08010871,0.012554928,-0.527240773
Bosnia and Herzegovina,BIH,,,,,,20.80000055,88.9576648,34.38957459,15.59999636,9.599999795,5.500000436,4.399999507,5.300000267,4.000000065,6.099999771,8.758230335,5.378476821,5.728756912,5.48150787,-2.869881278,0.767254237,0.908247974,-0.933187591,2.394191979,1.08187567
Belarus,BLR,,-1.2,-9.6,-7.6,-11.7,-10.4,2.799999999,11.4,8.4,3.4,5.800000001,4.725306006,5.045267318,7.043192675,11.44974293,9.4,10,8.6,10.2,0.2,7.793696038,5.543711462,1.731391223,1.023984805,1.723086003
Belize,BLZ,10.62857607,10.49704249,12.0357579,6.276563742,0.157938679,0.643973578,1.428722665,3.545178858,3.740956602,8.780371455,13.03876213,5.015662999,5.118559443,9.326537858,4.650468034,2.578742031,4.582560297,1.104310804,3.228494977,0.71311775,3.32444222,2.103950804,3.824748783,1.31407917,4.081034021
Bermuda,BMU,0.019212296,-3.534383404,-0.059737157,3.008567444,0.599613153,4.399147856,2.600476046,4.6,3.9,3.382648714,9.317155577,7.222436009,-1.477790375,3.410706204,2.321266476,1.674207149,5.543865928,2.845890114,1.52789391,-5.284177149,-2.094113534,-3.33949441,-4.834540171,-2.511154431,
Bolivia,BOL,4.635787879,5.266522121,1.646500039,4.269294855,4.667266263,4.6782771,4.361340294,4.954208743,5.029354755,0.426885423,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564284925,6.148597672,3.357001259,4.126722565,5.204092718,5.122274661,6.796011706,5.460569752
Brazil,BRA,-3.102355949,1.511937238,-0.46691321,4.665168989,5.334551702,4.416731354,2.207535528,3.395028637,0.338356179,0.469066587,4.11256491,1.389867166,3.053303731,1.141007013,5.759876004,3.202135213,3.961902656,6.069872846,5.09434227,-0.125873062,7.528223562,3.974425406,1.921150318,3.004865359,0.503961791
Barbados,BRB,-3.29999517,-3.900008353,-5.70001675,0.800000624,2.000000125,2.023261449,3.966274789,4.740148487,3.740458015,0.325869862,4.453059514,-2.36733875,0.791122984,2.171253823,1.406764442,3.96497442,5.668590896,1.764284435,0.396022177,-4.041023843,0.264912761,0.756195335,0.298399494,-0.072124053,0.063154096
Brunei Darussalam,BRN,1.089420535,3.145941362,4.758580846,0.304572874,3.145397395,4.47870734,2.878317747,-1.471171572,-0.558508851,3.052157142,2.849421858,2.744040518,3.872096967,2.903955477,0.504318253,0.387507208,4.397719678,0.154581812,-1.939714638,-1.764535541,2.598965746,3.745318352,0.912841671,-2.126028517,-2.34974675
Bhutan,BTN,10.87643469,-0.407876089,4.600891432,1.98636659,4.95150367,7.074117278,5.565172862,5.373838519,5.914030835,7.983972022,6.93302424,8.203773861,10.72784061,7.664334042,5.896408192,7.12255965,6.849365932,17.92582494,4.768354226,6.657223796,11.73085436,7.890913893,5.071709815,2.142496554,5.745455168
